$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
6$Anxiousness associated with Depression$3/20/2019 9:36:13 AM$Reviewer: MHprofessional, 55-64 Male  on Treatment for 10 years or more (Patient) $5$5$5$Have had 2 courses of tmt with this med. Other meds SSRIs had disastrous results. Good for increasing or restoring dopamine. Little to no bad sexual effects. Been on it 11+ years now retired 10 yrs. Lifesaving med for me.
31$Anxiousness associated with Depression$2/1/2016 2:11:10 PM$Reviewer: 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$I was on Fluoxetine for anxiety for 8 years. Switched to Bupropion cause the Fluoxetine was decreasing my sex drive. My anxiety has returned to basically where it was before I started taking the Fluoxetine. Was prescribed Buspirone in addition to try and help more with anxiety but really hasn't helped much. Sex drive has only gotten slightly better.
36$Anxiousness associated with Depression$9/19/2015 8:41:45 AM$Reviewer: 35-44 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$No side effects but it is very  effective  for depression  and anxiety. 
39$Anxiousness associated with Depression$8/27/2015 8:59:42 PM$Reviewer: 35-44 Female  on Treatment for 1 to 6 months (Patient) $3$2$2$I have almost tried everything, and went back on bupropion Sr 150mg then to 300mb, but still have anxiety and sweating all the time. I still have some depression and frustruated of having to take these drugs, I also exercise a lot for my mood and health. I;m thinking I will go back to 150mg to see if that makes a difference/
40$Anxiousness associated with Depression$8/12/2015 9:33:50 PM$Reviewer: Jim, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) $4$4$4$Whomever the lady was that took one at bedtime must of misunderstood her Doctor.  It's to be taken in the morning to give you a little pep and shouldn't be taken late in the afternoon or evening.  It's basically an upper.  You would sleep well taking it late.
402$Anxiousness associated with Depression$1/6/2017 1:29:44 PM$Reviewer: 55-64 Male  on Treatment for 10 years or more (Patient) $5$5$5$25 years ago I was severely depressed, Dr put me on Prozac, it dulled my senses and mind. I  wasn't happy, couldn't get excited.  5 years later NEW Dr put me on Wellbutrin and all of that cleared up, I had energy and laughed. Now on BupropionHCI SR 100mg every morning otherwise the dark clouds start to appear.
431$Anxiousness associated with Depression$5/31/2017 3:51:56 PM$Reviewer: Nate82, 25-34 Male  on Treatment for less than 1 month (Patient) $1$1$5$I've now been on generic Wellbutrin for 3 weeks and feel no different. I did experience some side effects at first; no appetite and nauseous for a week and a lot of dreams when sleeping. Now I'm experiencing nothing, no positives or negatives. Not sure why? I have some anxiety and depression but mainly depersonalization so maybe this isn't the right drug for me.
721$Anxiousness associated with Depression$12/5/2019 11:37:49 PM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $1$1$1$Worst experience of my life. Increased my anxiety to the point of panic attacks. I have never had panic attacks in my life! I was dizzy constantly, had muscle aches in my neck and back, was stressed beyond measure! I’ve been off it for 10 days and still feeling anxious and panicky. This was just awful.
732$Anxiousness associated with Depression$12/9/2018 10:53:10 PM$Reviewer: Rumi, 65-74 on Treatment for 6 months to less than 1 year (Patient) $5$5$5$This med acts like an amphetamine for the first week (hyperfocusing, inability to sleep at first, loss of appetite) but after a week of so, the effect changes; makes me very calm ,reduces anxiety, helps me sleep better than before I started taking it, increases motivation and pleasure just generally. So maybe stick with it for a few weeks before giving it up....... as it becomes very effective for me.
751$Anxiousness associated with Depression$5/5/2017 10:49:12 AM$Reviewer: Thormind, 35-44 Male  on Treatment for 1 to 6 months (Patient) $4$5$5$I tried soo many medication before this one and i always had to stop because of side effects. It's the only one that works for me with abcolutely no side effect.
