$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Other$10/25/2013 11:57:12 AM$Reviewer: Mauian, 65-74 on Treatment for 2 to less than 5 years (Patient) $4$4$5$"I take Selegiline for Bipolar II Disorder.
It has given me more success than other medications."
1$Condition: Other$7/16/2009 8:11:47 AM$Reviewer: [email protected], 75 or over Male  on Treatment for 10 years or more (Patient) $5$5$5$I have been taking Selegiline HCL (Depreynl or Eldepryl) for over 20 yeaqrs -- strickly for longevity -- 5 mg / day - 6 out of the 7 days.  I'm 79 - an active scuba diver -- It keeps my mind focused.  I plan to keep using it till I die -- See reference s of work by Dr.Knoll of Budapest.  For Longevity.
